______________________________________________________________________________		
             Department of Media and Communication Studies
______________________________________________________________________________		
SNO	YEAR	AUTHORS			RESEACH TOPIC
______________________________________________________________________________					
1	2020	Hadia Khalil 		             Print Media Coverage of   	
		Dr. Muhammad Osama Shafiq		Women Issues; National 	
				                     and Regional Newspapers	
				                       of Sindh and the	
				                       International Perspective	
______________________________________________________________________________					
2	2019	Sana Shahid		Impact of “WhatsApp Chaupal”   	
		M.Ali Shaikh		on the academic performance	
				             of graduate students	
				                  of Karachi: A case study	
______________________________________________________________________________					
3	2019	Sultan Rs		women and glass   	
		Yaseen M		ceiling in academia:	
		Fazal A		        a study in Pakistani	
		Khalid A		context	
		Rehman R			
______________________________________________________________________________					
4	2019	Rana Raba Sultan		        Gender Representation  	
		 Nadil Shah Ambreen Fazal		In Public School	
				                      Text Books Of	
				                        Baluchistan	
______________________________________________________________________________					
5	2019	 Yasmeen Sultana		Gender Representation	
		M. Wasif Khan		                in SMS Jokes	
					
______________________________________________________________________________					
6	2018	Dr. Yasmeen Sultana		Prpaganda for “Art for Art” 	
		Dr. Javed Akhter		movement through media.	
______________________________________________________________________________					
7	2018	Saima Baig		Outcome and Roots   	
		Asmat Ullah 		of Early Marriages	
				     in Gilgit-Baltistan:	
				    A Quantitative Descriptive	
				    Study	
______________________________________________________________________________					
8	2018	Yasmeen Sultana		Role of Gender in 	
		Khushboo Rafiq		Children’s Cognitive	
				          Learning from Television	
______________________________________________________________________________					
9	2018	Aamir Abbas		"Efficacy of knowledge,    "	
		Dr. Yasmeen Sultana		attitude and practices	
		Muhammad Imran		 of households on	
				          municipal solid waste	
				         management in Karachi 	
______________________________________________________________________________					
10	2017	Dr. Yasmeen Sultana		Book: Nawadir-e-Anjuman 	
______________________________________________________________________________					
11	2017	Syed Arshad Hussain		Adaptation of E-Government  	
		Saima Baig		            Services in Pakistan:	
		Kiran Fatima		          What’s Missing? Only	
		Zarnain Farid Sati		Print Version	
		Syed Hasnanin Alam			
______________________________________________________________________________					
12	2017	Nosheen Hussain		Challenges of e-learning 	
				       in Pakistan from students' 	
				           perspective: A phenomenological	
				           approach	
______________________________________________________________________________					
13	2015	Rana Saba Sultan		Causes Of Women 	
		 Ambreen Akbar		Harassment At Workplace	
		Nargis Ahmed			
		Musrrat Parveen			
______________________________________________________________________________					
14	2014	Nosheen Hussain		Understanding Breaking   	
		Syed Azfar Ali		News from Viewer's	
		 Samreen Razi  		Perspective: A Phenom-	
				       enological Approach	
______________________________________________________________________________					
15	2013	Saima Baig		The Role of Prenatal   	
		Fakhar ul Huda		Low Intake and	
		 Siddique		Low Birth Weight	
				      among Deceased Infant	
______________________________________________________________________________					
